RAZONSOCIAL;NOMBRECOMERCIAL;DIRECCION;SITIOWEB;EMAIL;TELEFONO;TELEFONO2;FAX;PRODUCTOS;EMPLEOTOTAL;RANGOFACTURACION;IMPORTA;EXPORTA;FECHAACTUALIZACION
SUFER, S.L.;;POLIGONO INDUSTRIAL DE LORENZANA 33438 CARREÑO ASTURIAS;http://www.sufersl.com;sufer@sufersl.com;98..55.7..54;98..557..29;98.557.43.02;Piezas mecanizadas en acero, aluminio, cobre, chapas mecanizadas, máquinas pequeñas y grandes. Calderería ligera y estructuras ligeras mecanizadas. Fundición de bronce, latón y aluminio en molde de arena Estructuras metálicas en general, tratamiento y revestimiento de metales, chorro y aplicación de pintura industrial;;n.d.;si;si;01/10/2025
SULOAL TECH, S.L.;;POLIGONO RESIDENCIAL VEGA DE ARRIBA, PAR 15 BL . 9 B CT DE E, 33600 MIERES ASTURIAS;https://suloal.com/;info@suloal.com;;;;Tratamiento avanzado de datos. Especializados en datos hidrogeológicos y datos geocientíficos relacionados Soluciones tecnológicas, servicios de monitorización y/o asesoramiento técnico en diversos problemas ingenieriles, destacando las temáticas de: Industria, Geofísica, Hidrogeología, Medio Ambiente, Energías renovables Soluciones tecnológicas completas, que incluyen desde el desarrollo de sensores hasta el procesamiento e interpretación de los datos ofrecidos por los mismos. Las soluciones son altamente personalizadas, intentando cubrir nichos de negocio donde no funcionan otros productos de mercado.;;Entre 0 y 150.000;;;31/07/2025
SUMINAVAL, S.L.;SUMINAVAL;C/ W5, Nº 10-B - TREMAÑES 33211 GIJON ASTURIAS;http://www.suminaval.com;info@suminaval.com;98.531.01.99 /32.62.46;;98.531.17.10;Aceros, latón, aluminio, metales no férreos, chapas especiales, cadenas, eslingas, complementos de poliester, accesorios para elevación y trasporte, cables de acero, rodillos, soportes, tambores, material náutico y de salvamento;;n.d.;si;;31/07/2025
SUMINISTROS CUSAN, S.L.;SUMINISTROS CUSAN;TRAVESIA DEL TORNO 3, NAVE B 33400 AVILES ASTURIAS;http://www.cusan.com;cusan@cusan.com;98.556.84.41;;98.556.59.04;Sumistros industriales. Especialidad en tornillería.;;n.d.;;;31/07/2025
SUMINISTROS E INSTALACIONES MEDIOAMBIENTALES Y TECNICAS DE EDIFICACION, S.L;SIMTE;PARQUE TECNOLOGICO DE ASTURIAS. EDIFICIO CENTROELENA I. OFIC. SH 33428 LLANERA ASTURIAS;http://www.simte.es;simte@simte.es;98.526.91.00;;98.598.06.00;Diseño, proyección e instalación de sistemas de climatización, protección contra incendios y ACS. Fontanería, gas y eléctricos de baja tensión;;n.d.;;;31/07/2025
SUMINISTROS INDUSTRIALES BAZAN, S.L.;;C/ LOS PINOS, 16 33211 GIJON ASTURIAS;http://www.bazansl.com;suministros@bazansl.com;98.532.51.56/59.03/530.17.03;;98.531.26.26;Venta mayorista de bronces, tornilleria, herramientas, rodamientos, metrología, mangueras, etc.;;n.d.;si;;31/07/2025
SUMINISTROS INDUSTRIALES RIPOL, S.L.;;GAMBOA, 8 33210 GIJON ASTURIAS;http://www.ripol.net;ripol@ripol.net;98.515.44.22/34;;98.515.44.34;Venta al por mayor de maquinaria. Herramienta de corte.;;n.d.;si;si;31/07/2025
SUMINISTROS INDUSTRIALES ROMER, S.A.;ROMER;CARRETERA DE LA ESTACION DE VIELLA, S/N 33429 SIERO ASTURIAS;http://www.suministrosromer.com/;romer@suministrosromer.com;98.579.17.17;;98.579.18.45;Suministros industriales en general. Compresores, cintas adhesivas, bandas transportadoras, filtros de aire, redes de aire comprimido. Servicio técnico oficial Atlas Copco. Instalación y montaje de bandas transportadoras Habasit. Contaje de partículas en salas blancas y quirófanos.;;n.d.;si;si;01/10/2025
SUMINISTROS MEDICO-QUIRURGICOS, S.A.;SURGIMEDIC;PARQUE EMPRESARIAL AGUILA DEL NORA PARCELA 21, COLLOTO 33199 SIERO ASTURIAS;http://www.surgimedic.es/surgimedic/contenidos/es/;surgimedic@surgimedic.es;98.529.81.80;;98.528.10.06;Distribución de material médico quirurgico, traumatología, cirugía, urología, mobiliario, esterilización y desinfección, material desechable;;n.d.;si;;31/07/2025
SUMINISTROS MERES, S.L.;SUMER;POL. IND. PUENTE NORA, C/ A, 16. LUGONES 33420 SIERO ASTURIAS;http://www.suministrosmeres.com;sumer@suministrosmeres.com;98.526.67.26;;98.526.67.17;Venta de suministros industriales incluida la venta de maquinaria y suministros mineros: herramientas de taller, eléctricas, material de construcción y obras públicas, limpieza, seguridad y protección, señalización, ...;;n.d.;;;31/07/2025
SUMINISTROS VIGIL MARITIMOS, S.L.;SUVIMAR;POL. IND. LAS AROBIAS, TRAVESIA DE LA INDUSTRIA, 41 33409 AVILES ASTURIAS;http://www.suvimar.com;suvimar@suvimar.com;98.552.16.08;;98.556.68.22;Compra-venta, importación y exportación de toda clase de mercancías con destino al comercio marítimo y aprovisionamiento de buque: artículos de alimentación, tabacos, alcoholes, pertrechos, bonded stocks, maquinas y herramientas, artes de pesca, carburantes y lubricantes marinos.;;n.d.;si;si;31/07/2025
SUMINISTROS Y PINTURAS, S.A.;SYPSA;C/ LLANO PONTE, 22, BAJO 33401 AVILES ASTURIAS;http://www.sypsa.es;sypsa@sypsa.es;98.554.88.78/593.88.78;;98.554.00.21;Restauración de fachadas, estructuras metálicas, pinturas intumescentes, pavimentos autonivelantes, canalones y bajantes, tratamientos de terrazas, tratamientos de hidrófugos, limpiezas (chorro de arena, chorro de agua, chorro de granalla). Venta de productos de pintura: pinturas, protectores y tratamientos para madera, protectores para la industria, masillas y emplastes, etc. Rehabilitación energétic, colocación de envolventes térmicas, SATE, fachada ventilada;;n.d.;;;31/07/2025
SUMINISTROS, PROMOCIONES Y TECNICAS TXF, S.A.;TXF;POL. IND. TABAZA II, PARCELA 18, LOGREZANA 33438 CARREÑO ASTURIAS;http://www.txfsa.com;central@txfsa.com;98.551.44.02;;98.551.44.01;Servicios técnicos de ingeniería general. Trabajos de ingeniería y obra civil industrial.;;n.d.;;;31/07/2025
SUPERSILO SPAIN, S.L.L.;SUPERSILO;POL. IND. ASIPO, C/ A, PARC. 3A, NAVE AZUL, 7 33428 LLANERA ASTURIAS;http://www.supersilo.es;info@supersilo.es;98.567.37.90;;98.569.22.27;Fabricación de silos textiles para la biomasa, la industria y la ganadería, así como sus piezas accesorias y estructuras;;n.d.;si;si;31/07/2025
SUPRASTEEL WORLDWIDE, S.L.;SUPRASTEEL;C/ ARGÜELLES, 35 - PTA. 2ª-3ª 33003 OVIEDO ASTURIAS;http://www.suprasteel.net;info@suprasteel.net;98.596.62.76;985.238.924;98.525.30.52;Importación / exportación de material ferroviario de via fija y materias primas para siderurgia y fundición.;;n.d.;si;si;05/11/2025
SVMAC INGENIERIA SISTEMAS Y VEHICULOS, S.L.;;C/ PEDRO PUIG ADAM. EDIF. ESPACIO TECNOLOGICO CAMPUS 33203 GIJON ASTURIAS;http://www.svmac.es;svmac@svmac.es;984282692;;;EIBT asturiana que desarrolla sus actividades (vehículos y plataformas, sistemas agroforestales, equipos industriales) en el sector de la tecnología para la agricultura de precisión Soluciones tecnológicas en sensórica y sistemas embebidos;;n.d.;;;31/07/2025
T S CARGO S.L.;;TERMINAL DE CARGA. AEROPUERTO DE ASTURIAS 33450 CASTRILLON ASTURIAS;;tscargo@tscargo.es;98.551.98.41;;98.551.93.34;Transitarios: transporte terrestre, aéreo y marítimo de mercancías.;;n.d.;si;si;31/07/2025
T-SYSTEMS ITC IBERIA, S.A.U.;;C/ PURITA DE LA RIVA, 6 33008 OVIEDO ASTURIAS;http://www.t-systems.es;alberto.ordieres@d-core.es;98.520.55.24;;;Desarrollo de sistemas de información. Servicios de desarrollo para la matriz T-Systems Iberia dentro de su unidad TAO dedicada al desarrollo de Soluciones Informáticas para la Administración Pública;;n.d.;si;si;31/07/2025
TABIQUES DIVISORIOS ARCO, S.L.;ARCO;AVDA. PRINCIPE DE ASTURIAS, 1 33213 GIJON ASTURIAS;http://www.arco.es;comercial@arco.es;98.532.59.07;;98.532.99.70;Mamparas de oficina. Venta de muebles de oficina;;n.d.;si;si;31/07/2025
TABLAN CONSULTING, S.L.;TABLAN;C/ PEDRO DURO, 2 ENTLO-DRCHA 33206 GIJON ASTURIAS;http://www.corporative.es/;info@tablan.es;98.517.17.87;;98.534.87.08;Instalaciones industriales, navales, térmicas e hidraúlicas.;;n.d.;;;31/07/2025
TABU COMUNICACION, S.L.;TABU COMUNICACION;C/ MARQUES DE TEVERGA, 8, 1º E 33005 OVIEDO ASTURIAS;http://www.tabucomunicacion.com;info@tabucomunicacion.com;98.527.51.50;;98.596.54.11;Producción audiovisual. Producción de vídeo;;Entre 0 y 150.000;;;31/07/2025
TACTICA CORPORATIVA, S.L.;TACTICA;C/ LOS PRADOS, 166. EDIFICIO PRINCIPAL, OFICINA 11. PARQUE CIENTIFICO TECNOLOGICO DE GIJON 33203 GIJON ASTURIAS;http://www.tacticacorporativa.es;info@tacticacorporativa.es;98.509.93.37;;98.509.12.13;Gestión de los recursos humanos y del proceso innovador en las organizaciones.;;n.d.;;;22/09/2025
TACTICA TIC, S.L.;;C/ CAMIN VIEJO DEL MUSEL 246, CENTRO MUNICIPAL DE EMPRESAS QUINTA DE LA VEGA, GIJON, ASTURIAS 33299 GIJON ASTURIAS;http://www.tacticatic.com;info@tacticatic.com;98.419.00.28;;;Combinamos el mundo físico y el virtual mediante el uso de sensores y actuadores conectados a un sistema experto dotado de capacidades de aprendizaje automático. Táctica TIC es un habilitador digital, que optimiza productos y procesos productivos, a través del uso de sensórica e inteligencia artificial. Ofrecemos soluciones IoT orientadas a la industria 4.0. Soluciones tecnológicas en sensórica y sistemas embebidos Soluciones tecnológicas aplicadas al proceso;;n.d.;;;31/07/2025
TADARSA EOLICA, S.L.U.;TEOL;AVENIDA DE LA SIDERURGIA, NUMERO 28, 2º 33490 AVILES ASTURIAS;https://windar-renovables.com;windar@windar-renovables.com;98.556.00.90;985.567.285;;Fabricación de torres eólicas;;n.d.;;;04/11/2025
TAE ASESORES, S.L.;;C/ MARQUES DE TEVERGA, 5, 6º D 33005 OVIEDO ASTURIAS;http://www.taeasesores.net;carmen@taeasesores.es;98.596.62.62;;98.596.62.62;Asesoramiento laboral, fiscal, contable e informático. Auditorías. Prevención de riesgos laborales. Subvenciones. Estudios de viabilidad Asesoramiento, defensa y representación en juicio y fuera de él;;n.d.;;;31/07/2025
TAEMAR, S.L.;;AVDA. EDUARDO CASTRO, 139 33290 GIJON ASTURIAS;https://www.talleresnavalestaemar.com/;taemarsl@gmail.com;98.532.43.50/54;;98.532.42.58;Calderería ligera y media. Mecanización. Construcción y reparación de embarcaciones deportivas y de pesca.;;n.d.;;;31/07/2025
TAEX, TECNICAS EN ATMOSFERAS EXPLOSIVAS, S.A.;TAEX;EZCURDIA 194 - 2º D. EDIFICIO ARGENTA 33203 GIJON ASTURIAS;http://www.taex.net;info@taex.net;98.513.26.27;;98.513.31.43;Ingeniería eléctrica de procesos integrales, proyectos llave en mano. Automatización de procesos, montaje eléctrico. Suministro de equipos para atmósferas explosivas.;;n.d.;si;si;31/07/2025
TALENTO CORPORATIVO, S.L.;;AVDA. JARDIN BOTANICO-Nº 1345. EDIF. INTRA 33203 GIJON ASTURIAS;http://www.talentocorporativo.com;info@talentocorporativo.com;98.532.04.78;902.500.337;984242682;Análisis y creación de páginas web, espacios, virtuales empresariales y centros de comercio electrónico, la definición y ejecución de campanas de marketing, marketing online, asi como el posicionamiento;;n.d.;;si;31/07/2025
TALENTO TRANSFORMACION DIGITAL, S.L.;TALENTO TD- VORAGO;CALLE LUIS DE MOYA BLANCO 261. UNIVERSIDAD LABORAL DE GIJON- ESPACIO TALENTO 33203 GIJON ASTURIAS;http://www.vorago.es;info@vorago.es;98.532.04.78;902.500.337;98.424.05.55;Portales Web y gestión de contenidos. Soluciones tecnológicas en sensórica y sistemas embebidos Soluciones tecnológicas aplicadas a los recursos humanos Soluciones tecnológicas de conectividad y movilidad Soluciones tecnológicas de marketing;;n.d.;;;31/07/2025
TALLER DE ESTUDIOS DEL MEDIO AMBIENTE, S.L.;TEMA 3;PLAZA DE LA PAZ, 8, 7º C 33006 OVIEDO ASTURIAS;;;98.525.41.89;;;Ordenación del territorio, planificación y gestión de espacios naturales, cotos de caza y/o pesca, consultoría medioambiental, estudios de impacto ambiental, proyectos de restauración (áreas degradadas por minería y obra pública, conservación de espacios protegidos), control de poblaciones de aves urbanas, gestión de especies de plantas protegidas, ZIA (zonificación de áreas de interés para la acuicultura), ZAE (zonificación agorecológica), Valoración de arbolado ornamental (Norma Granada);;n.d.;;;01/10/2025
TALLER ELECTRICO AMG, S.L.;AMG;C/ DEMETRIA SUAREZ, 20 33401 AVILES ASTURIAS;;amg@grupoamg.com;98.556.19.18;;98.552.04.37;Reparación de motores, pequeños transformadores y bobinas.;;n.d.;;si;31/07/2025
TALLER INDUSTRIAL CARREÑO, S.L.;TAINCA;POL. IND. LOGREZANA INDUSTRIAL, 8. CTRA. GRANDA-AVILES 33438 CARREÑO ASTURIAS;http://www.tainca.es;tainca@tainca.es;98.557.58.19;;98.551.53.75;Fabricación de estructuras metálicas Trabajos de calderería. Curvado de perfiles. Trabajos en acero inoxidable. Fabricación de pernos de anclaje y abarcones. Mantenimiento y reparaciones;;n.d.;;;31/07/2025
TALLERES ACRO, S.L.;;C/ METALURGIA, 23 33211 GIJON ASTURIAS;http://www.cromadosacro.com;acro@cromadosacro.com;98.532.15.74/43.66;;98.532.22.81;Recubrimientos en cromo duro, rectificados;;n.d.;;;16/10/2025
TALLERES ALEGRIA, S.A.;TALEGRIA;POL. IND. SILVOTA, PEÑA SANTA, PARCELA 7 33192 LLANERA ASTURIAS;http://www.talegria.com;talegria@talegria.com;98.526.32.95;;98.526.60.11;Material fijo de vía férrea, desvíos, cambios, travesías.Fabricación, reparación y mantenimiento de vagones de ferrocarril.Fabricación, reparación y mantenimiento de vehículos ferroviarios autopropulsados.Reparación de puentes metálicos.;;n.d.;si;si;01/10/2025
TALLERES ANTONINO, S.L.;;ALEJANDRO CASONA, S/N. EL REGUERON 33800 CANGAS DEL NARCEA ASTURIAS;;talleresantonino@telefonica.net;98.581.11.19;;98.581.11.19;Verjas, ventanas, puertas. Motorizaciones. Estructuras metálicas.;;n.d.;si;;31/07/2025
TALLERES BLAMEN, S.L.;;C/ BAZAN, 14, TREMAÑES 33211 GIJON ASTURIAS;http://www.talleresblamen.es/;admon@talleresblamen.es;98.532.11.95/08.99;;98.531.35.08;Piezas mecanizadas, pequeña forja, estampación.;;n.d.;;;31/07/2025
TALLERES CANDANO, S.L.;TALLERES CANDANO;C/ PUERTO NUEVO, S/N 33150 CUDILLERO ASTURIAS;http://www.tcandano.com;info@tcandano.com;98.559.02.48/17.09;;98.559.09.53;Maquinaria naval y reparación de pesqueros y recreo Maquinaria naval y reparación de pesqueros y recreo;;n.d.;si;si;31/07/2025
TALLERES CARLOS DEL VALLE, S.L.;;C/ LA PEÑA, 27 33617 MIERES ASTURIAS;http://www.tallerescarlosdelvalle.com;contactar@tallerescarlosdelvalle.com;98.545.24.87;;98.546.66.78;Calderería mecanizada ligera y media Mecanización Calderería gruesa, mediana y pequeña. Mecanizado de piezas;;n.d.;;;01/10/2025
TALLERES DANIEL ALONSO RODRIGUEZ, S.A.;TADARSA;C/ DE LOS GANADEROS S/N 33417 AVILES ASTURIAS;http://www.grupo-danielalonso.es;tadarsa@grupo-danielalonso.es;98.551.65.40;;98.552.57.42;;;n.d.;si;si;31/07/2025
TALLERES DE MECANIZACION Y CALDERERIA, S.L.;MECAL;C/ URIA, 30, 3º DCHA. 33003 OVIEDO ASTURIAS;http://www.mecalbd.com/;info@mecalbd.com;98.522.52.86;;98.522.64.86;Depósitos con o sin presión, intercambiadores de calor, estructuras metálicas. Bienes de equipo en general Mecanización de piezas no seriadas bajo plano. Bienes de equipo en general;;n.d.;si;si;16/10/2025
TALLERES DIFER, S.A.;;AVDA. CONDE DE GUADALHORCE, 65-67 33401 AVILES ASTURIAS;http://www.talleresdifer.com;info@talleresdifer.com;98.552.58.33;;;Calderería. Diseño, construcción, mantenimiento y reparación de maquinaria. Mecanizado.;;n.d.;si;;31/07/2025
TALLERES ELECTRICOS INDUSTRIALES Y MARITIMOS, S.L.;TEIMA;C/ALEJANDRO GOICOECHEA ORIOL Nº 74 33211 GIJON ASTURIAS;http://www.teimasl.com;admon@teimasl.com;98.532.36.58;;98.532.57.73;Instalaciones y montajes industriales, domésticos y comerciales. Montaje de armarios de protección, mando y control. Autómatas programables. Reparación de máquinas eléctricas. Instalación de sistemas de detección de CO y protección contra incendios. Rebobinado de motores. Infraestructuras de telecomunicaciones.;;n.d.;;;31/07/2025
TALLERES GARASAN, S.A.;;C/ ALEXANDER GRAHAM BELL, 451 33211 GIJON ASTURIAS;;pedidos@garasan.e.telefonica.net;98.530.71.40;;98.530.75.56;Estampación en grandes series Cisternas, grandes depósitos y contenedores de metal;;n.d.;;;29/08/2025
TALLERES GOFER, S.L.;GOFER;AVDA. SIDERURGIA, 15. POL. IND. BANKUNION 2 33211 GIJON ASTURIAS;http://www.tgofer.com;info@tgofer.com;98.532.61.99;;98.531.67.89;Piezas soldadas para motocicletas, carcasas para reductores de velocidad Tratamientos térmicos Calderería media y ligera;;n.d.;;;16/10/2025
TALLERES GOZON, S.A.;;PARQUE EMPRESARIAL PRINCIPADO DE ASTURIAS,  AVDA. ALUMINIO, 10 33417 AVILES ASTURIAS;http://www.tgozon.com;tgozon@tgozon.com;98.550.55.61;;98.551.80.33;Calderería naval, tuberías, depósitos.;;n.d.;;si;31/07/2025
TALLERES HERMANOS GONZALEZ, S.L.;;POL. IND. EL ZARRIN S/N. LA ESPINA 33981 SALAS ASTURIAS;http://www.hgagricola.es;hgagricola@gmail.com;98.583.71.44;;98.583.73.93;Maquinaria agraria: remolques y aperos;;n.d.;si;;31/07/2025
TALLERES JULIAN FERNANDEZ RODRIGUEZ, S.L.U.;TALLERES JULIAN;POL. IND. MAQUA. PARCELA C, Nº 17 33418 GOZON ASTURIAS;http://www.canalonesjulian.com/;talleresjulianslu@gmail.com;98.551.13.56;;98.554.35.05;Fabricación y montaje de cubiertas de zinc, cobre, estaño y plomo, y de otros elementos como bajantes y canalones.;;n.d.;;;31/07/2025
TALLERES LARREA, S.L.;;C/ ALFREDO RIVERO 240 33211 GIJON ASTURIAS;http://www.tallereslarrea.com;larrea@tallereslarrea.com;98.532.14.97/68.90;;98.532.51.72;Mecanizado, fabricación de viradores y posicionadores para la soldadura, equipos para colada continua. Carros portacucharas, coladas continuas, hornos de galvanizado;;n.d.;;si;31/07/2025
TALLERES LLANEZA, S.L.;;POL. IND. PUENTE NORA, S/N, LUGONES 33420 SIERO ASTURIAS;http://www.talleresllaneza.com;administracion@talleresllaneza.com;98.526.06.56;;98.526.30.33;Calderería mecanosoldada. Equipos siderúrgicos. Fabricación de máquinas. Recuperación de piezas con niquel electrolítico. Fabricación, mecanización y reparación de productos metálicos. Mecanizado de piezas de grandes dimensiones. Ampuesas, segmentos y mandrinos.;;n.d.;si;si;31/07/2025
TALLERES LOMA, C.B.;;SAN ESTEBAN DE PRAVIA, S/N 33130 MUROS DE NALON ASTURIAS;;mmy71@hotmail.com;98.558.01.70;;98.558.01.70;Astillero. Reparación y montajes de barcos, especializados en pesqueros, embarcaciones fluviales y deportivas en casco de cualquier material, yates, veleros y embarcaciones rápidas en casco de aluminio.;3;n.d.;;;31/07/2025
TALLERES LUALVA, S.A.;TALLERES LUALVA;EL VALLE, S/N. 33438 CARREÑO ASTURIAS;http://www.tallereslualva.com;lualva@tallereslualva.es;98.588.77.02;;98.588.77.02;Calderería media en general, construcciones metálicas, tolvas, escaleras, pasillos, plataformas, depósitos sin presión, conductos, tuberías Construcciones metálicas, en general, ligera, media y pesada, las construcciones mecánicas y la mecanización, general, montaje y reparaciones de toda clase de estructuras;;n.d.;;;01/10/2025
TALLERES LUMAN, S.L.;LUMAN;AVDA. DE LOS CAMPONES, 162 33211 GIJON ASTURIAS;http://www.grupoluman.com;luman@grupoluman.com;98.516.76.63;;98.516.86.05;Maquinaria auxiliar para pesqueros (Maquinillas haladores, timones,), suministros industriales y navales, elementos para soldadura eléctrica, diseño y fabricación de todo tipo de maquinaria especializada, piezas bajo plano, caldereria ligera-mediana Fabricación de estructuras metálicas;;n.d.;si;si;31/07/2025
TALLERES MECANICOS RIFEL, C.B.;;CAMIN DEL PONTON, 379 - NAVE 12 B - POL. IND. MAXIMINO VEGA 33211 GIJON ASTURIAS;http://www.rifelmecanizacion.com;;98.532.73.99;;98.532.73.99;Mecanización;3;n.d.;;;01/10/2025
TALLERES METALICOS ALTO NALON, S.L.;TMAN;;https://www.talleresaltonalon.es/;oficina@talleresaltonalon.es;;;;Fabricación de estructuras metálicas y calderería.;;n.d.;;;14/10/2025
TALLERES METALICOS TINO, S.L.;;PARQUE EMPRESARIAL DE LA SIDRA, NAVE 3 33520 NAVA ASTURIAS;http://www.talleresmetalicostino.com/;info@talleresmetalicostino.com;98.571.68.86;;;Carpintería de aluminio, puertas metálicas. Estructuras metálicas, forjas, carrocerías, parrillas.;;n.d.;;;31/07/2025
TALLERES PEREZ Y GONZALEZ, S.L.;TALLERES PERGO;TRAVESIA EL CRISTAL, 15 33400 AVILES ASTURIAS;;tallerpergo@gmail.com;98.556.76.97;;98.556.76.97;Trabajos de soldadura oxiacetilénica y recargues especiales.;;n.d.;;;31/07/2025
TALLERES PLA, S.L.;;POL. IND. LOGREZANA S/N 33438 CARREÑO ASTURIAS;https://tallerespla.com/;tallerespla@tallerespla.com;98.557.35.90;;98.551.44.12;Mecanización, mantenimiento y reparaciones en general de equipos industriales.;;n.d.;;si;31/07/2025
TALLERES RAMON CASTRO, S.L.;MONRA FORESTAL;CRTA. GENERAL, S/N 33794 CASTROPOL ASTURIAS;http://www.monraforestal.com;info@monraforestal.com;98.562.40.30;;98.562.41.65;Fabricación de Maquinaria Forestal MONRA. Fabricacion de cabezales procesadores de madera y máquinas compactadoras de biomasa MONRA. Instalación de las mismas en las máquinas base, con departamentos técnico, comercial y de servicio post-venta. Reparacion y venta de maquinaria agricola y forestal.;;n.d.;si;si;31/07/2025
TALLERES SOLARES, S.L.;;AVDA. DEL TRANSPORTE, 16 33211 GIJON ASTURIAS;http://www.talleressolares.com;ts@talleressolares.com;98.531.15.13;;98.530.10.22;Utillajes y piezas de troquelería, decoletaje. Mecanización, conjuntos de mecanosoldadura.;;n.d.;;;31/07/2025
TALLERES TEJEDOR, S.L.;;AVDA. LLOREDA, 60, NAVE 6 33211 GIJON ASTURIAS;;;98.534.34.49;985.314.960;98.531.49.60;Mecanización, soldaduras especiales, mantenimiento mecánico, recargues antidesgaste y antifricción.;;n.d.;;;29/08/2025
TALLERES TRANSGLASS, S.L.;;AVENIDA DE GIJON 114 33460 AVILES ASTURIAS;http://www.transglass.es;info@transglass.es;98.556.53.20;;98.556.39.69;Calderería en materiales plásticos, montaje de tuberías industriales de material plástico;;n.d.;si;si;01/10/2025
TALLERES Y MONTAJES AVILES, S.A.;TAYMA;TRAVESIA DE LA INDUSTRIA, 90. POL. INF.LAS AROBIAS SUR 33401 AVILES ASTURIAS;http://www.tayma-sa.com;direccion@tayma-sa.com;98.556.16.90;;98.556.91.43;Construcción de elementos metálicos mecanosoldados Calderería mecanizada. Embarrados conductores. emplomado y calderería de plomo. Emplomados y equipos de plomo;;n.d.;si;si;01/10/2025
TALLERES ZARAGOZA ALONSO, S.L.;;AVDA. DE RIOSECO Nº 11-13 33980 LAVIANA ASTURIAS;;tallereszaragozaalonso@hotmail.com;98.580.06.13;;98.560.06.13;Carpintería metálica;;n.d.;;;01/10/2025
TALLERES ZITRON, S.A.;ZITRON;AUTOVIA AS-II, Nº 2386. ROCES 33211 GIJON ASTURIAS;http://www.zitron.com;zitron@zitron.com;98.516.81.32;;98.516.80.47;Maquinaria para industrias extractivas, obras públicas y construcción, palas cargadoras, cabestrantes, perforadoras neumáticas y bombas de inyección, ventiladores para minería. Ventiladores de chorro, sistemas completos de ventilación para túneles, ventiladores y equipos completos de ventilación para líneas de metro. Energia eólica;;n.d.;si;si;01/10/2025
TAPIA ELECTROACUSTICA, S.L.;TAPIA ELA;C/ FAYA 14, PARCELA 32. PARQUE TECNOLOGICO DE ASTURIAS 33428 LLANERA ASTURIAS;http://www.grupotapia.com;administracion@grupotapia.com;98.573.29.07/98.521.29.56;;98.573.27.14;Instalación de sistemas de seguridad, televigilancia, control CCTV Única central receptora de alarmas en el Ppdo. de Asturias.Servicio de acuda de llaves. Mantenimiento de Sistemas de Seguridad.;;n.d.;;;31/07/2025
TAPIA TELECOM, S.L.;;PARQUE TECNOLOGICO DE ASTURIAS. C/ ASTURIAS. PAR 32 33424 LLANERA ASTURIAS;http://www.grupotapia.com;telecom@grupotapia.com;90.201.01.91;;98.521.68.32;Centralitas telefónicas, VoIP, Red Wifi, Red de cableado Voz/Datos, Sistemas de intercomunicaión pacienrte-enfermera, Megafonía.Servicio Técnico Oficial ALCATEL.;;n.d.;;;10/10/2025
TARTAS ABADIA, S.L.;;C/ PEÑA SALON, 44, PARCELA A, POL. IND. SILVOTA, 33192 LLANERA ASTURIAS;http://www.tartasabadia.com;abadia@tartasabadia.com;98.598.06.98;;98.526.65.58;Elaboración y comercialización de tartas congeladas.;;n.d.;;;31/07/2025
TAU NORIEGA, S.L.;TAU NORIEGA SLP;C/ MARQUES DE SAN ESTEBAN, 6 - 5º C 33206 GIJON ASTURIAS;;info@taunoriega.es;98.517.08.33;;98.517.08.31;Arquitectura y urbanismo.;;n.d.;;;31/07/2025
TAXUS MEDIO AMBIENTE, S.L.;TAXUS MEDIO AMBIENTE;C/ SANTA SUSANA, 5 - BAJO A 33007 OVIEDO ASTURIAS;http://www.taxusmedioambiente.com;info@taxusmedioambiente.com;98.524.65.47;;98.415.50.60;Implantación y seguimiento de sistemas de gestión de la calidad según normas ISO 9001, EFQM. Consultoría ambiental Implantación y seguimiento de sistemas de gestión del medio ambiente según normas ISO 14001 y Reglamento EMAS. Formación en medio ambiente, calidad, integración de sistemas y educación ambiental. Educación Ambiental (desarrollo de proyectos y talleres, edición de materiales, gestión de centros de interpretación). Desarrollo de proyectos (descontaminación de suelos, impacto acústico, calidad de aguas, gestión de residuos, técnicas de bioingeniería, proyectos de restauración vegetal, sistemas de información geográfica). Realización de estudios de mercado. Estudios científico-técnicos (ictiofauna, pesca eléctrica, limnología, Directiva Marco del Agua, índices biológicos, modelización de emisiones atmosféricas y vertidos).Planes de Vigilancia Ambiental (parque eólicos, infraestructuras lineales, grandes proyectos, etc.). Desarrollo de proyectos (descontaminación de suelos, impacto acústico, calidad de aguas, gestión de residuos, técnicas de bioingeniería, proyectos de restauración vegetal, sistemas de información geográfica). Actividad acústica :medición, ingeniería y mapas de ruido. Aguas: análisis e ingeniería. Suelos: análisis e ingeniería.;;n.d.;;;31/07/2025
TCM MONTAJES ELECTRICOS, S.L.;TCM;POL. IND. ASIPO, CALLE B, PARCELA 35, NAVE 3 33428 LLANERA ASTURIAS;http://www.tcm-montajes.com/;tcm@tcm-montajes.com;98.526.06.03/16.84;;98.526.00.34;Ingeniería Montajes eléctricos;;n.d.;;;31/07/2025
TECNEA SOLUCIONES, S.L.;;C/ LOS PRADOS, 166. EDIFICIO IMPULSA 33203 GIJON ASTURIAS;http://www.tecnea.es/;info@tecnea.es;91.825.85.84;;;Soluciones tecnológicas de cloud computing;;n.d.;;;31/07/2025
